id,name,sex,age,height,weight,team,noc,games,year,season,city,sport,event,medal,region,bmi
62573,Aleksandr Kontarev,M,26.0,180.0,77.0,Soviet Union,RUS,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics 110 Metres Hurdles,,Russia,23.8
62586,German Stepanovich Kontoyev,M,28.0,166.0,54.0,Belarus,BLR,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Bantamweight, Freestyle",,Belarus,19.6
62586,German Stepanovich Kontoyev,M,32.0,166.0,54.0,Belarus,BLR,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Featherweight, Freestyle",,Belarus,19.6
62591,Sofiya Yevgenyevna Konukh,F,20.0,173.0,61.0,Russia,RUS,2000 Summer,2000,Summer,Sydney,Water Polo,Water Polo,Bronze,Russia,20.4
62591,Sofiya Yevgenyevna Konukh,F,24.0,173.0,61.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Water Polo,Water Polo,,Russia,20.4
62591,Sofiya Yevgenyevna Konukh,F,28.0,173.0,61.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo,,Russia,20.4
62591,Sofiya Yevgenyevna Konukh,F,32.0,173.0,61.0,Russia,RUS,2012 Summer,2012,Summer,London,Water Polo,Water Polo,,Russia,20.4
62598,Vladimir Nikolayevich Konyakhin,M,25.0,176.0,72.0,Soviet Union,RUS,1968 Summer,1968,Summer,Mexico City,Shooting,Shooting Mixed Small-Bore Rifle Three Positions 50 Metres,,Russia,23.2
62599,Nadezhda Yefimovna Konyayeva (-Samoylova),F,25.0,167.0,58.0,Soviet Union,RUS,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Javelin Throw,Bronze,Russia,20.8
62605,Dmitry Borisovich Konyshev,M,30.0,182.0,73.0,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Road Race, Individual",,Russia,22.0
62605,Dmitry Borisovich Konyshev,M,34.0,182.0,73.0,Russia,RUS,2000 Summer,2000,Summer,Sydney,Cycling,"Cycling Road Race, Individual",,Russia,22.0
62606,Olga Konysheva,F,29.0,160.0,58.0,Kazakhstan,KAZ,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey,,Kazakhstan,22.7
62623,Anton Koolmann,M,24.0,172.0,60.0,Estonia,EST,1924 Summer,1924,Summer,Paris,Wrestling,"Wrestling Bantamweight, Greco-Roman",,Estonia,20.3
62623,Anton Koolmann,M,24.0,172.0,60.0,Estonia,EST,1924 Summer,1924,Summer,Paris,Wrestling,"Wrestling Featherweight, Freestyle",,Estonia,20.3
62651,Vladimir Nikolayevich Kopat,M,30.0,181.0,82.0,Belarus,BLR,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey,,Belarus,25.0
62652,Valery Vasilyevich Kopayev,M,21.0,177.0,67.0,Soviet Union,RUS,1976 Winter,1976,Winter,Innsbruck,Nordic Combined,Nordic Combined Individual,,Russia,21.4
62654,Svitlana Hlibivna Kopchykova,F,21.0,171.0,70.0,Soviet Union,UKR,1988 Summer,1988,Summer,Seoul,Swimming,Swimming 4 X 100 Metres Freestyle Relay,,Ukraine,23.9
62654,Svitlana Hlibivna Kopchykova,F,21.0,171.0,70.0,Soviet Union,UKR,1988 Summer,1988,Summer,Seoul,Swimming,Swimming 100 Metres Butterfly,,Ukraine,23.9
62654,Svitlana Hlibivna Kopchykova,F,21.0,171.0,70.0,Soviet Union,UKR,1988 Summer,1988,Summer,Seoul,Swimming,Swimming 200 Metres Butterfly,,Ukraine,23.9
62662,Sergey Viktorovich Kopenkin,M,24.0,172.0,60.0,Kyrgyzstan,KGZ,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Lightweight,,Kyrgyzstan,20.3
62675,Sergey Viktorovich Koplyakov,M,17.0,186.0,76.0,Soviet Union,RUS,1976 Summer,1976,Summer,Montreal,Swimming,Swimming 200 Metres Freestyle,,Russia,22.0
62675,Sergey Viktorovich Koplyakov,M,17.0,186.0,76.0,Soviet Union,RUS,1976 Summer,1976,Summer,Montreal,Swimming,Swimming 4 X 200 Metres Freestyle Relay,Silver,Russia,22.0
62675,Sergey Viktorovich Koplyakov,M,21.0,186.0,76.0,Soviet Union,RUS,1980 Summer,1980,Summer,Moskva,Swimming,Swimming 100 Metres Freestyle,,Russia,22.0
62675,Sergey Viktorovich Koplyakov,M,21.0,186.0,76.0,Soviet Union,RUS,1980 Summer,1980,Summer,Moskva,Swimming,Swimming 200 Metres Freestyle,Gold,Russia,22.0
62675,Sergey Viktorovich Koplyakov,M,21.0,186.0,76.0,Soviet Union,RUS,1980 Summer,1980,Summer,Moskva,Swimming,Swimming 4 X 200 Metres Freestyle Relay,Gold,Russia,22.0
62675,Sergey Viktorovich Koplyakov,M,21.0,186.0,76.0,Soviet Union,RUS,1980 Summer,1980,Summer,Moskva,Swimming,Swimming 4 X 100 Metres Medley Relay,Silver,Russia,22.0
62708,Anton Glebovich Koprivitsa,M,22.0,172.0,68.0,Russia,RUS,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Boardercross,,Russia,23.0
