id,name,sex,age,height,weight,team,noc,games,year,season,city,sport,event,medal,region,bmi,sport_category,Female_M,Male_M,Female_P,Male_P
27552,Yelena Yuryevna Dendeberova (-Kuznetsova),F,19.0,181.0,75.0,Soviet Union,RUS,1988 Summer,1988,Summer,Seoul,Swimming,Swimming 400 Metres Individual Medley,,Russia,22.9,Aquatics,23,26,46.94,53.06
27552,Yelena Yuryevna Dendeberova (-Kuznetsova),F,23.0,181.0,75.0,Unified Team,RUS,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming 200 Metres Freestyle,,Russia,22.9,Aquatics,37,41,47.44,52.56
27552,Yelena Yuryevna Dendeberova (-Kuznetsova),F,23.0,181.0,75.0,Unified Team,RUS,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming 4 X 100 Metres Freestyle Relay,,Russia,22.9,Aquatics,37,41,47.44,52.56
27552,Yelena Yuryevna Dendeberova (-Kuznetsova),F,23.0,181.0,75.0,Unified Team,RUS,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming 200 Metres Individual Medley,,Russia,22.9,Aquatics,37,41,47.44,52.56
27601,Aleksey Alekseyevich Denisenko,M,18.0,185.0,68.0,Russia,RUS,2012 Summer,2012,Summer,London,Taekwondo,Taekwondo Flyweight,Bronze,Russia,19.9,Combat,13,29,30.95,69.05
27601,Aleksey Alekseyevich Denisenko,M,22.0,185.0,68.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Featherweight,Silver,Russia,19.9,Combat,13,30,30.23,69.77
27603,Dmitry Vitalyevich Denisov,M,23.0,176.0,71.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Ice Hockey,Ice Hockey,,Russia,22.9,Skating,32,49,39.51,60.49
27604,Kirill Georgiyevich Denisov,M,24.0,182.0,90.0,Russia,RUS,2012 Summer,2012,Summer,London,Judo,Judo Middleweight,,Russia,27.2,Combat,13,29,30.95,69.05
27604,Kirill Georgiyevich Denisov,M,28.0,182.0,90.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Middleweight,,Russia,27.2,Combat,13,30,30.23,69.77
27605,Viktor Viktorovich Denisov,M,22.0,188.0,90.0,Soviet Union,RUS,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Kayak Doubles, 500 Metres",Silver,Russia,25.5,Paddling,14,25,35.9,64.1
