id,name,sex,age,height,weight,team,noc,games,year,season,city,sport,event,medal,region
96436,Viktor Yakovlevich Potapov,M,29.0,174.0,74.0,Soviet Union,RUS,1976 Summer,1976,Summer,Montreal,Sailing,Sailing Mixed Two Person Dinghy,,Russia
96436,Viktor Yakovlevich Potapov,M,33.0,174.0,74.0,Soviet Union,RUS,1980 Summer,1980,Summer,Moskva,Sailing,Sailing Mixed Multihull,,Russia
96437,Yaroslav Vladimirovich Potapov,M,17.0,188.0,72.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,"Swimming 1,500 Metres Freestyle",,Russia
96439,Olga Potapova,F,25.0,161.0,60.0,Kazakhstan,KAZ,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey,,Kazakhstan
96440,Igor Potapovich,M,28.0,185.0,75.0,Kazakhstan,KAZ,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Pole Vault,,Kazakhstan
96440,Igor Potapovich,M,33.0,185.0,75.0,Kazakhstan,KAZ,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Pole Vault,,Kazakhstan
96441,Pavel Vladimirovich Potapovich,M,23.0,185.0,74.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Athletics,"Athletics 3,000 Metres Steeplechase",,Russia
96441,Pavel Vladimirovich Potapovich,M,27.0,185.0,74.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics 3,000 Metres Steeplechase",,Russia
96443,Aleksandr Anatolyevich Potashov,M,26.0,187.0,80.0,Soviet Union,RUS,1988 Summer,1988,Summer,Seoul,Athletics,Athletics 50 Kilometres Walk,,Russia
96443,Aleksandr Anatolyevich Potashov,M,30.0,187.0,80.0,Unified Team,RUS,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics 50 Kilometres Walk,,Russia
96444,Olga Dmitriyevna Potashova,F,24.0,204.0,98.0,Russia,RUS,2000 Summer,2000,Summer,Sydney,Volleyball,Volleyball,Silver,Russia
96449,Vladimir Potekin,M,36.0,174.0,74.0,Russia,RUS,1912 Summer,1912,Summer,Stockholm,Shooting,Shooting Small-Bore Rifle Any Position 50 Metres,,Russia
96449,Vladimir Potekin,M,36.0,174.0,74.0,Russia,RUS,1912 Summer,1912,Summer,Stockholm,Shooting,Shooting Small-Bore Rifle Disappearing Target 25 Metres,,Russia
96451,Vladimir Potemin,M,20.0,172.0,75.0,Russia,RUS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics 50 Kilometres Walk,,Russia
96465,Viktoriya Volodymyrivna Potiekhina,F,19.0,167.0,53.0,Ukraine,UKR,2012 Summer,2012,Summer,London,Diving,Diving Synchronized Platform,,Ukraine
96517,Oleksandr Potulnytskiy,M,27.0,185.0,84.0,Ukraine,UKR,1996 Summer,1996,Summer,Atlanta,Water Polo,Water Polo,,Ukraine
96519,Olga Viktorovna Potylitsyna,F,24.0,169.0,62.0,Russia,RUS,2014 Winter,2014,Winter,Sochi,Skeleton,Skeleton,,Russia
96520,Valeriya Leonidovna Potyomkina-Reznik,F,24.0,167.0,63.0,Russia,RUS,2010 Winter,2010,Winter,Vancouver,Short Track Speed Skating,Short Track Speed Skating 500 Metres,,Russia
96520,Valeriya Leonidovna Potyomkina-Reznik,F,24.0,167.0,63.0,Russia,RUS,2010 Winter,2010,Winter,Vancouver,Short Track Speed Skating,"Short Track Speed Skating 1,000 Metres",,Russia
96520,Valeriya Leonidovna Potyomkina-Reznik,F,24.0,167.0,63.0,Russia,RUS,2010 Winter,2010,Winter,Vancouver,Short Track Speed Skating,"Short Track Speed Skating 1,500 Metres",,Russia
96520,Valeriya Leonidovna Potyomkina-Reznik,F,28.0,167.0,63.0,Russia,RUS,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,Short Track Speed Skating 500 Metres,,Russia
96520,Valeriya Leonidovna Potyomkina-Reznik,F,28.0,167.0,63.0,Russia,RUS,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,"Short Track Speed Skating 1,500 Metres",,Russia
96520,Valeriya Leonidovna Potyomkina-Reznik,F,28.0,167.0,63.0,Russia,RUS,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,"Short Track Speed Skating 3,000 Metres Relay",,Russia
96598,Rudolf Pavlovych Povarnitsyn,M,26.0,201.0,75.0,Soviet Union,UKR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics High Jump,Bronze,Ukraine
96607,Aleksandr Vladimirovich Povetkin,M,24.0,188.0,98.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Boxing,Boxing Super-Heavyweight,Gold,Russia
96609,Mariya Mykolavna Povkh,F,27.0,166.0,64.0,Ukraine,UKR,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Kayak Singles, 500 Metres",,Ukraine
96609,Mariya Mykolavna Povkh,F,27.0,166.0,64.0,Ukraine,UKR,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Kayak Fours, 500 Metres",,Ukraine
96610,Olesia Ivanivna Povkh,F,24.0,167.0,63.0,Ukraine,UKR,2012 Summer,2012,Summer,London,Athletics,Athletics 100 Metres,,Ukraine
96610,Olesia Ivanivna Povkh,F,24.0,167.0,63.0,Ukraine,UKR,2012 Summer,2012,Summer,London,Athletics,Athletics 4 X 100 Metres Relay,Bronze,Ukraine
96610,Olesia Ivanivna Povkh,F,28.0,167.0,63.0,Ukraine,UKR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics 100 Metres,,Ukraine
96610,Olesia Ivanivna Povkh,F,28.0,167.0,63.0,Ukraine,UKR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics 4 X 100 Metres Relay,,Ukraine
96667,Vyacheslav Yevgenyevich Poyto,M,25.0,180.0,72.0,Belarus,BLR,2008 Summer,2008,Summer,Beijing,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",,Belarus
96668,Svetlana Gennadyevna Pozdeyeva (-Vanyo),F,19.0,170.0,60.0,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming 100 Metres Butterfly,,Russia
